title	score
Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi (OVA)	70
Estab-Life: Great Escape (ONA)	70
Suzumiya Haruhi-chan no Yuuutsu (ONA)	70
Hei He (ONA)	70
Artiswitch (ONA)	70
Hibike! Euphonium 2 Specials (SPECIAL)	70
Shuumatsu Train Doko e Iku? (TV)	70
Kidou Senshi Gundam: Suisei no Majo - PROLOGUE (SPECIAL)	70
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2 - Eris no Goblin Toubatsu (SPECIAL)	70
Baby I Love You Daze (MUSIC)	70
Shingeki no Kyojin OVA (OVA)	70
Sugar Apple Fairy Tale Part 2 (TV)	70
Inu-ou (MOVIE)	70
Kyou no Asuka Show (ONA)	70
Soredemo Sekai wa Utsukushii (TV)	70
Asobi Asobase (TV)	70
Fuyu no Okurimono (ONA)	70
Tsuma, Shougakusei ni Naru. (TV)	70
COLORs (ONA)	70
Anata wo Hitokoto de Arawashite Kudasai: no Shitsumon ga Nigate da. (ONA)	70
Tentai Kansoku (ONA)	70
Ichiban Chikakute Tooi Hoshi (ONA)	70
Ichigo Mashimaro Episode 0 (SPECIAL)	70
Acchi Kocchi: PLACE=PRINCESS (OVA)	70
Acchi Kocchi (TV)	70
Nobunaga no Shinobi: Anegawa Ishiyama-hen (TV_SHORT)	70
Hoshikuzu Telepath (TV)	70
Higashi no Eden Movie I: The King of Eden (MOVIE)	70
Koukyuu no Karasu (TV)	70
Barakamon: Mijikamon (ONA)	70
Wakaokami wa Shougakusei! (Movie) (MOVIE)	70
Tonari no Seki-kun OVA (OVA)	70
Mitsuami no Kamisama (MOVIE)	70
Yume ga Sameru made (ONA)	70
Massara (ONA)	70
Poretto no Isu (ONA)	70
Byousoku 5 Centimeter (MOVIE)	70
Hal (MOVIE)	70
Kakushigoto: Himegoto wa Nandesuka (MOVIE)	70
Megane na Kanojo (OVA)	70
Kubikiri Cycle: Aoiro Savant to Zaregotozukai (OVA)	70
Kowarekake no Orgel (OVA)	70
Haikyuu!! Riku VS Kuu (OVA)	70
Wakako-zake (TV_SHORT)	70
Haikyuu!!: VS Akaten (SPECIAL)	70
Senryuu Shoujo (TV_SHORT)	70
Tsukimonogatari (TV)	70
Honobono Log (TV_SHORT)	70
resign (ONE_SHOT)	70
Sundome!! Milky Way (MANGA)	70
Hinemosu Kurari (ONE_SHOT)	70
Boku Dake ga Shitteiru (ONE_SHOT)	70
Gakumon no Susume (MANGA)	70
Anata wa Koko de, Iki ga Dekiru no? (NOVEL)	70
Delivery (MANGA)	70
Ane to Kabeshiri to Watashi (ONE_SHOT)	70
Tabimiman (MANGA)	70
Sayonara no Shougai (MANGA)	70
Usami-san wa Kamawaretai! (MANGA)	70
Change the World: Kyou Kara Satsujinki (MANGA)	70
Kyou, Curry! (MANGA)	70
Ijousha (ONE_SHOT)	70
ODETTE (MANGA)	70
Tokyo Lastochika (MANGA)	70
Yorimichi (ONE_SHOT)	70
Oudan Hodou no Manga (MANGA)	70
Kyou no Asuka Show (MANGA)	70
Liv (ONE_SHOT)	70
Happy Death Day (NOVEL)	70
Tsuiraku JK to Haijin Kyoushi (MANGA)	70
Seishun Rikon (MANGA)	70
Watashitachi, Rikon Shimasu (ONE_SHOT)	70
Kyoko to Tousan (MANGA)	70
Nemurubaka (MANGA)	70
Tokyo Alien Brothers (MANGA)	70
Renzu-sou no Sankaku (MANGA)	70
To LOVE-Ru Darkness: Bangai-hen (ONE_SHOT)	70
To LOVE-Ru: Rito to Sayaka no Houkago Ato (ONE_SHOT)	70
Dasei 67 Percent (MANGA)	70
Matching App Yuri Anthology (MANGA)	70
Yuusha Goikkou no Kaerimichi (ONE_SHOT)	70
Doukyonin ga Konoyo no Mon Janai (MANGA)	70
Amigara Dansou no Kai (ONE_SHOT)	70
Senaka Gurashi (MANGA)	70
Watashitachi wa Koi wo Shiranai (MANGA)	70
Hyouka no Emi ga Saku (ONE_SHOT)	70
Watashi no Tadashii Onii-chan (MANGA)	70
Sakka-san to Zashiki Warashi ga Kurasu Hon (MANGA)	70
Mangaka Sensei to Zashiki Warashi (MANGA)	70
100-nichi Go ni Kekkon Suru Futari (MANGA)	70
Kekkyoku Sonna Kimi Ga Suki (MANGA)	70
Nemurenai (ONE_SHOT)	70
Yorimichi (ONE_SHOT)	70
Warau Kanoko-sama (MANGA)	70
Yuri na Kataomoi-chan (MANGA)	70
Musanso Renai (ONE_SHOT)	70
Joushi to Dousei shiteimasu (MANGA)	70
Anata wa Itsumo Zurui Hito (MANGA)	70
Kokuhaku Biyori (MANGA)	70
Shiosai no Majo (MANGA)	70
Nijigahara Holograph (MANGA)	70
Bakewell Memories (ONE_SHOT)	70
8-gatsu no Soda Sui (MANGA)	70
Sensei wa Koi wo Oshierarenai (MANGA)	70
Usotsuki Mii-kun to Kowareta Maa-chan: Totteoki no Uso (MANGA)	70
Taishou Otome Otogibanashi: Pessimist no Shokutaku (MANGA)	70
Hatsukoi, Futatabi. (MANGA)	70
Sora no Yousei (MANGA)	70
Tonari no Yukionna-chan (ONE_SHOT)	70
Riko to Haru to Onsen to Iruka (MANGA)	70
Koi Tsukiyo no Himegoto (MANGA)	70
08:05 no Hengao-san (ONE_SHOT)	70
not simple (MANGA)	70
Watashi no Kobushi wo Uketomete! (MANGA)	70
PositioN (MANGA)	70
Present (ONE_SHOT)	70
Machigatteita no wa Ore Dattan da. (ONE_SHOT)	70
Madoromi-chan ga Iku. (MANGA)	70
Shibito no Koe wo Kiku ga Yoi (MANGA)	70
My Broken Mariko (MANGA)	70
Ore ga Doutei wo Sutetara Shinu Ken ni Tsuite (MANGA)	70
Ninja Shinobu-san no Junjou (MANGA)	70
Haru to Midori (MANGA)	70
Yukuyuku Futari (MANGA)	70
Horimiya Bangai-hen (ONE_SHOT)	70
White Sugar Garden, Black Salt Cage (ONE_SHOT)	70
Yochinouryoku Manga: Kuno Chiyo (MANGA)	70
Mado kara Madoka-chan (MANGA)	70
Soulmate (MANGA)	70
Black Cat (MANGA)	70
Episodeⁿ | Kuusou (ONA)	67
Kobayashi-san Chi no Maidragon S: Mini Dra EX (SPECIAL)	67
Natsume Yuujinchou × Kumamoto-ken: Hitoyoshi Kuma de no Yasashii Jikan (ONA)	67
Cencoroll 2 (MOVIE)	67
Cencoroll (MOVIE)	67
Ani ni Tsukeru Kusuri wa Nai! 3 (ONA)	67
Himote House: Dai Panic! Minna de Gokiburi Taiji (OVA)	67
Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 3rd Season (ONA)	67
Bernard-jou Iwaku. (TV_SHORT)	67
Shigofumi Picture Drama (SPECIAL)	67
Neko no Ongaeshi (MOVIE)	67
Doraemon: Nobita to Sora no Utopia (MOVIE)	67
raison d'etre (MUSIC)	67
Kororon (MUSIC)	67
Re:Petit kara Hajimeru Isekai Seikatsu (TV_SHORT)	67
SPY×FAMILY Season 2 (TV)	67
Rec (TV_SHORT)	67
Kill la Kill (TV)	67
Anime de Wakaru Shinryounaika (ONA)	67
LINE Novel CMs (ONA)	67
Umayon (TV_SHORT)	67
Uma Musume: Pretty Derby - 1st Anniversary Special Animation (SPECIAL)	67
Uma Musume: BNW no Chikai (OVA)	67
Alien 9 (OVA)	67
Yakusoku no Nanaya Matsuri (ONA)	67
Tounen-bun no Watashi e (MOVIE)	67
Asagao to Kase-san. (OVA)	67
Busu ni Hanataba wo. (TV)	67
Tsuki ga Kirei Special (SPECIAL)	67
Pan de Peace! (TV_SHORT)	67
Harmonie (MOVIE)	67
Paprika (MOVIE)	67
Cross Road (SPECIAL)	67
Tamako Market Specials (SPECIAL)	67
One Punch Man (TV)	67
Hajimete Koibito ga Dekimashita. (MANGA)	67
Hashire! Samejima (ONE_SHOT)	67
Dandelion (MANGA)	67
Haibane Seikatsu Nisshi (MANGA)	67
Matazoro. (MANGA)	67
Toumei Ningen no Tsukurikata (MANGA)	67
Mannin Densha x Watashi x Kare (ONE_SHOT)	67
Yoko-chan wa Positive (ONE_SHOT)	67
Kirika-sama wa Kishi ni Naritai (ONE_SHOT)	67
Boku wa, Onnanoko (MANGA)	67
Osananajimi ga Fuwafuwa Esper Joshikousei no Nichijou (MANGA)	67
Kyou Kara Mirai (MANGA)	67
Kimi ga, Suki. (MANGA)	67
Moshi, Koi ga Mieta Nara (MANGA)	67
Teiji ni Agaretara (MANGA)	67
Renai Shitakunai Wake ja Nai kedo (MANGA)	67
Yasetai-san to Shitsuren-chan (ONE_SHOT)	67
Sayonara Kastor (ONE_SHOT)	67
Ichikawa Haruko Sakuhinshuu (MANGA)	67
Heisei Umare (MANGA)	67
Tsuki to Suppin (MANGA)	67
Konbini of the Dead: 100-nichi Go ni Kyuujo Sareru Konbini Tenin (MANGA)	67
Kakurenbo (ONE_SHOT)	67
300-nen Fuuin Sareshi Jaryuu-chan to Tomodachi ni Narimashita (MANGA)	67
Shiki no Zenjitsu (MANGA)	67
Nigate na no wa Amai Momo (ONE_SHOT)	67
Alien 9: Emulators (MANGA)	67
Aisareru Watashi no Monogatari (ONE_SHOT)	67
Kininaru Mori-san (MANGA)	67
Imouto no Tomodachi ga Nani Kangaeteru no ka Wakaranai (MANGA)	67
Studio Men (MANGA)	67
Tada Arifureteita. (MANGA)	67
Tsuyokute New Game na Love Come (MANGA)	67
Yakumo-san wa Ezuke ga Shitai. (MANGA)	67
Kyuuchou ga Oshitsukete kuru (MANGA)	67
Look Back (ONE_SHOT)	67
Blue Hearts (MANGA)	67
Dekisokonai no Himegimi-tachi (MANGA)	67
Kamibukuro-kun wa Koishiteru (MANGA)	67
SE (MANGA)	67
LIAR GAME (MANGA)	67
GENJI FANTASY: Neko ga Hikaru Genji ni Koi wo Shita (SPECIAL)	65
Meitantei Conan vs Kaitou Kid (MOVIE)	65
Sorairo Utility × BIRDIE WING: Golf Girls' Story Mini Anime (ONA)	65
Soba e (ONA)	65
Ani ni Tsukeru Kusuri wa Nai! 5 (ONA)	65
Ani ni Tsukeru Kusuri wa Nai! 4 (ONA)	65
Ani ni Tsukeru Kusuri wa Nai! 2 (ONA)	65
Your Forma (TV)	65
Machikado Mazoku Mini (ONA)	65
Junkers Come Here: Pilot Film (SPECIAL)	65
Ani ni Tsukeru Kusuri wa Nai! (ONA)	65
Yumekuri (OVA)	65
Miru Tights (ONA)	65
Kill la Kill Tokubetsu-hen (OVA)	65
Uma Musume: Pretty Derby - Shin Jidai no Tobira (MOVIE)	65
Kaze Tachinu (MOVIE)	65
Karigurashi no Arrietty (MOVIE)	65
Rec Special (SPECIAL)	65
Binzume Yousei (TV_SHORT)	65
Korekarasaki, Nando Anata to. (MUSIC)	65
Ima wa Shourai ni Hairimasu ka. (ONA)	65
Flying Witch Petit (ONA)	65
Kame no Koura wa Abarabone (MOVIE)	65
Deji Meets Girl (TV_SHORT)	65
Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) (TV_SHORT)	65
Chikatetsu ni Noru (ONA)	65
Senpai wa Otokonoko (TV)	65
Hitorigurashi no Shougakusei (TV_SHORT)	65
Kaguya-sama wa Kokurasetai: Ultra Romantic 3rd Season Teaser PV - Ishigami Yuu wa Kataritai (ONA)	65
Hello WeGo! (MOVIE)	65
Uramichi Oniisan (TV)	65
Hanebado! (TV)	65
Sasayaku You ni Koi wo Utau (TV)	65
Shoujo Shuumatsu Jugyou (ONA)	65
Toradora!: SOS! (SPECIAL)	65
Kamiari Algorithm (MUSIC)	65
Acchi Kocchi Youchien (SPECIAL)	65
Made in Abyss: Retsujitsu no Ougonkyou - Papa to Issho (SPECIAL)	65
Nobunaga no Shinobi: Nobunaga to Minarai Shinobi (SPECIAL)	65
Nobunaga no Shinobi (TV_SHORT)	65
Higashi no Eden Movie II: Paradise Lost (MOVIE)	65
Tatakae! Space Attendant Aoi (MOVIE)	65
Ryuu to Sobakasu no Hime (MOVIE)	65
Hoshi wo Ou Kodomo (MOVIE)	65
Tokyo Marble Chocolate (OVA)	65
Hoshi no Koe (OVA)	65
Haikyuu!!: Lev Kenzan! (OVA)	65
No Game No Life (TV)	65
Howl no Ugoku Shiro (MOVIE)	65
Change Mark (ONE_SHOT)	65
Ani Imouto (MANGA)	65
Yoru ni naru to Boku wa (MANGA)	65
"Shinu kurai nara Kaisha Yamereba" ga Dekinai Wake (MANGA)	65
Uminekosou days (MANGA)	65
Chocolate: Maid Cafe (MANGA)	65
En wa Inamono Aji na Mono (ONE_SHOT)	65
Route 2106 (ONE_SHOT)	65
Kono Gomi wo Nanto Yobu (MANGA)	65
Ningyo no Sodate Kata (MANGA)	65
Choku! (MANGA)	65
Gekkou (NOVEL)	65
Sakurai-san wa Kizuite Hoshii (MANGA)	65
Itookashi (ONE_SHOT)	65
Biotop (MANGA)	65
Bokura no Shuumatsu (ONE_SHOT)	65
Heisei Umare 2 (MANGA)	65
Konna Watashi ni Kitaishinai de (MANGA)	65
Kyuuso wa Cheese no Yume wo Miru (MANGA)	65
Mogijeonjaeng (MANGA)	65
Nikaidou Kou Tanpenshuu: Arigatou tte Itte (MANGA)	65
Lens Goshi ni Oni wa Inai (ONE_SHOT)	65
Waratte! Sotomura-san (MANGA)	65
Toumei Ningen no Koi (MANGA)	65
Akai Michi (ONE_SHOT)	65
Sweet Poolside (MANGA)	65
Playback I Love You (ONE_SHOT)	65
Isekai Kakuriyo: Ayakashi Kuukitan (MANGA)	65
Tokyo ni Somara Rehen Ko (MANGA)	65
Hitomebore (MANGA)	65
Osananajimi no Manga (MANGA)	65
Chocolate to Kase-san. (MANGA)	65
Rabuka (ONE_SHOT)	65
Saboten no Himitsu (MANGA)	65
Yubikiri Hime (ONE_SHOT)	65
Rengoku no Ashe (ONE_SHOT)	65
Saeki-san wa Nemutteru (MANGA)	65
Yawahada (MANGA)	65
Shingou-san wa Soko ni Ari (MANGA)	65
Mienai Hitotachi. (MANGA)	65
Koi to Utatane (MANGA)	65
Nemuru Machi no Futari (ONE_SHOT)	65
Tsuyokina Watashi no Semeta Ichinichi (ONE_SHOT)	65
Kumabachi no Koto (ONE_SHOT)	65
Tagai no Guardian (ONE_SHOT)	65
Ryuu no Eigakan (ONE_SHOT)	65
Hajimari no Natsu (MANGA)	65
Prologue-Gymnopedies- (Mieru Record) (MANGA)	65
Gaikotsu to Koi wa Dekiru no ka? (ONE_SHOT)	65
Doujima-kun wa Doujinai (MANGA)	65
ERENA (ONE_SHOT)	65
Haru no Ongaeshi (ONE_SHOT)	65
Kaitai Zanuff (ONE_SHOT)	65
Bouken Erekitetou (MANGA)	65
Jinrui wo Metsubou sasete wa Ikemasen (MANGA)	65
Kawaii Hito (MANGA)	65
Chiguhagu na Karera no Koi no Yukue (MANGA)	65
Aoi Yoru (ONE_SHOT)	65
Koukai Saki ni Tatazu na (MANGA)	65
Itoshi no Kana (MANGA)	65
Chiisana Mori no Ookami-chan (MANGA)	65
Bacouple (MANGA)	65
Majo to Dai Akuma (MANGA)	65
Kurai Mori, Shiroi Michi (MANGA)	65
Tengoku ni Ikitakatta Dekisokonai (MANGA)	65
Tabi ni Dasasete Moraenai Yuusha no Manga (MANGA)	65
Oyasumi Punpun (MANGA)	65
Imouto no Ane (ONE_SHOT)	65
Kanojo, Okarishimasu x Senryuu Shoujo (ONE_SHOT)	65
Akarui Kioku Soushitsu (MANGA)	65
Tsukiatte Nai Kedo Yarimashita (MANGA)	65
Tsukiatte Agetemo Ii ka na (MANGA)	65
Ikiteru Kimi ni Hanataba Wo (ONE_SHOT)	65
Kanako-san (ONE_SHOT)	65
Ikemen Girl to Hakoiri Musume (MANGA)	65
Shizuko wa Ore no Yome (MANGA)	65
Sora no Shita Yane no Naka (MANGA)	65
Tokidoki Bosotto Roshiago de Dereru Tonari no Alya-san (ONE_SHOT)	65
Watashi no Aisuru Kawano-san (ONE_SHOT)	65
Nenene (MANGA)	65
Ookami to Watashi no Kazoku Jijou (ONE_SHOT)	65
Ana Satsujin (MANGA)	65
Maou no Musume wa Yasashi Sugiru!! (MANGA)	65
Kobayashi-san Chi no ○○ Dragon (SPECIAL)	60
Miru Tights: Cosplay Satsuei Tights (OVA)	60
Itsuka no Watashi yori (ONA)	60
Nazotoki wa Dinner no Ato de (TV)	60
Bokura no Yoake (MOVIE)	60
Machikado Mazoku: 2-Choume Mini (ONA)	60
Bernard-jou Iwaku. - Ofuro dokusho (SPECIAL)	60
Chi. Chikyuu no Undou ni Tsuite (TV)	60
Asobi Asobase OVA (OVA)	60
Na-Nare Hana-Nare (TV)	60
Chichibu de Buchichi (ONA)	60
Tadaima, Okaeri (TV)	60
Boukenroku (MUSIC)	60
Bokura no Ameiro Protocol (TV)	60
Umayon: Shinsaku Short Anime (SPECIAL)	60
Kimi no Hikari: Asagao to Kase-san. (ONA)	60
Misaki no Mayoiga (MOVIE)	60
Yuru Camp△ SEASON 2 OVA (OVA)	60
Kanojo ga Kanji wo Suki na Riyuu. (ONA)	60
Ashita Sekai ga Owaru toshitemo (MOVIE)	60
Love All Play (TV)	60
Kimi wa Kanata (MOVIE)	60
Kimi no Matsu Basho e (ONA)	60
Cossette no Shouzou (OVA)	60
Kanojo to Kanojo no Neko: Everything Flows (TV_SHORT)	60
Bakemono no Ko (MOVIE)	60
Mary to Majo no Hana (MOVIE)	60
Nyanko Days (TV_SHORT)	60
Marulk-chan no Nichijou (SPECIAL)	60
Okuru Kotoba (MANGA)	60
Kimi ni Nidome no Sayonara wo. (MANGA)	60
Sakana no Miru Yume (MANGA)	60
VITA Sexualis (MANGA)	60
Meros (MANGA)	60
Sachi-iro No One Room Gaiden: Seikai No Meitantei (MANGA)	60
Asong De Lamian Biji (MANGA)	60
Arata naru Sekai: Kako-hen (MANGA)	60
Akuma wa Sasayaku (ONE_SHOT)	60
Watashi no Kidou (ONE_SHOT)	60
Osananajimi ni Najimitai (MANGA)	60
Othello (ONE_SHOT)	60
Uchi no Danna ga Kawaisugiru Ken ni Tsuite (MANGA)	60
Subarashiki Kono Sekai (MANGA)	60
Niwaka Ame no Tegami (ONE_SHOT)	60
Hokenshitsu no Tsumuri-san (MANGA)	60
Nega-kun to Poji-chan (MANGA)	60
Hatsukoi (MANGA)	60
Clover (MANGA)	60
Yawarakai Onna (MANGA)	60
Yuusha ka Maou ka Erabasete (MANGA)	60
Ootani-san Chi no Tenshi-sama (MANGA)	60
Hoshikawa Ginza Yonchoume (MANGA)	60
High Risk Mission Therapy (MANGA)	60
One Room Rakuen (ONE_SHOT)	60
Love Attack (ONE_SHOT)	60
Doutei Zetsumetsu Rettou (MANGA)	60
Chikyuu Saigo no Hi Kokuhaku suru Hanashi (MANGA)	60
Maou no Hajimekata THE COMIC (MANGA)	60
Parallel (MANGA)	60
Shibito no Koe wo Kiku ga Yoi (ONE_SHOT)	60
Kono Ko ja Nai! (ONE_SHOT)	60
Sachiusu (MANGA)	60
Sekai no Owari to Yoake Mae (MANGA)	60
Nise Kioku Soushitsu no Hachiyo-san (MANGA)	60
Suki x Suki (MANGA)	60
Akarui (ONE_SHOT)	60
Bandai Neko no Tama-san (MANGA)	60
Love Calendar (MANGA)	60
Furou Kyoudai (MANGA)	60
Furou Kyoudai (ONE_SHOT)	60
Kimi to wa Osananajimi Deshita ne (MANGA)	60
Alien 9 Special (ONE_SHOT)	60
Yokushiryoku (MANGA)	60
Sayonara Bye-bye (ONE_SHOT)	60
Yuki Onna to Kani wo Kuu: Okinawa-hen (MANGA)	60
Suugaku Girl (MANGA)	60
Shino-chan wa Jibun no Namae ga Ienai (MANGA)	60
Hadi Girl (MANGA)	60
Aroma-chan wa Konya mo Hazukashii (MANGA)	60
Mayonaka no Waltz (ONE_SHOT)	60
Marble Chocolate (MANGA)	60
Futsuu ni Kiite Kure (ONE_SHOT)	60
Tsukiatte Kudasai (ONE_SHOT)	60
Ruri Dragon (ONE_SHOT)	60
Sekimen Shinaide Sekime-san (MANGA)	60
Yogen no Nayuta (ONE_SHOT)	60
Nioi wo Kagu no ga Suki na Onnanoko (MANGA)	60
Kemono no Joou (MANGA)	60
Kimi to (MANGA)	60
Sasen mo Warukunai (MANGA)	60
Rome Futari Gurashi (ONE_SHOT)	60
Apple Parfait: Onee-Loli Yuri Anthology (MANGA)	60
Shin Genre "TsunBaka": Boon ga Shihoushiken wo Mezasu You desu (MANGA)	60
Shoshinsha Obake-chan no Manga (MANGA)	60
Kiyomizu Iroha wa Koi wo Shiranai (ONE_SHOT)	60
Namida wo Yurushita Jigoku no Shisha (ONE_SHOT)	60
Star Strings yori (ONE_SHOT)	60
Back to the Jack (MANGA)	60
RKGKMDK (MANGA)	60
Shingetsutan Tsukihime (MANGA)	60
Flying Witch Petit Special (SPECIAL)	55
Tensui no Sakuna-hime (TV)	55
Amrita no Kyouen (MOVIE)	55
Suntory Minami Alps no Tennen Mizu (SPECIAL)	55
Rakka-sei (MOVIE)	55
11-nin Iru! (MOVIE)	55
Taifuu no Noruda (MOVIE)	55
Spirit of Wonder: China-san no Yuuutsu (OVA)	55
Koi to Yobu ni wa Kimochi Warui (ONA)	55
Tomorrow’s Leaves (MOVIE)	55
Unnamed Memory (TV)	55
Eien no 831 (SPECIAL)	55
Nobunaga no Shinobi: Ise Kanegasaki-hen (TV_SHORT)	55
Kanojo to Kanojo no Neko (OVA)	55
Minami no Shima no Dera-chan (SPECIAL)	55
Kimi to Shiranai Natsu ni Naru (MANGA)	55
Hajimete no Gyakusatsu (MANGA)	55
Spirit of Wonder (MANGA)	55
Sensei Lock On! (MANGA)	55
RaButa (MANGA)	55
Gyakusou Shoujo: Owaranai Natsuyasumi (MANGA)	55
Princess School (ONE_SHOT)	55
Boku to Kanojo no Game Sensou (MANGA)	55
Yuri Natsu: Minshuku Kagaya (MANGA)	55
ABILITY SHOP (ONE_SHOT)	55
Yukimusume wa Fureaitai (ONE_SHOT)	55
Sex & Dungeon!!: Wagaya no Chika ni, H Kaisuu = Level no Dungeon ga Shutsugen shita?! (MANGA)	55
Annarasumanara (MANGA)	55
●REC (MANGA)	55
Koi☆Sento (OVA)	50
Kokoro Toshokan: Communication wa Kiru (SPECIAL)	50
Hananoi-kun to Koi no Yamai (TV)	50
beautiful day dreamer (ONA)	50
Kurage no Shokudou (OVA)	50
Slow Start (TV)	50
Neon The Animation (ONA)	50
PUI PUI Molcar (TV_SHORT)	50
Taneyamagahara no Yoru (MOVIE)	50
Tonari no Totoro (MOVIE)	50
AKIRA (MOVIE)	50
Shi ni Aruki (MANGA)	50
Konyaku Haki kara Hajimaru Akuyaku Reijou no Kangoku Slow Life (NOVEL)	50
Suicide Parabellum (MANGA)	50
Angelfire (ONE_SHOT)	50
Tokimeki no Ikenie (MANGA)	50
Flag wo Sente de Ori Makuru (MANGA)	50
Alien 9 Next (MANGA)	50
Shitto na Watashi to Shikku na Aitsu (ONE_SHOT)	50
Yuugatou (ONE_SHOT)	50
Magatsu Wanashi no Yuusha kari (MANGA)	50
Bibliomania (MANGA)	50
Final Girl (ONE_SHOT)	50
Kimi to Nadekko! (MANGA)	50
Chikyuu no Ko (MANGA)	50
Suki dakedo Suki dakara Uketorenai (MANGA)	50
Sono Uchi Kekkon made Iku kedo Ima wa Mada (MANGA)	50
Toaru Yakedo Shoujo no Hanashi (MANGA)	50
trapezium (MOVIE)	45
Tasokare Hotel (ONA)	45
Heisei Tanuki Gassen Ponpoko (MOVIE)	45
Majo no Tabitabi (TV)	45
Fumiko no Kokuhaku (ONA)	45
1-nichi Go ni Shinu Gorilla (MANGA)	45
Yume Nikki (MANGA)	45
Koharu no Hibi (MANGA)	45
Shirayuki Tsurara wa Toketakunai (ONE_SHOT)	45
Kimi wa Mada Torikago no Naka (ONE_SHOT)	45
Curry Utopia (MANGA)	45
Joucho wo Mechakuchani Shitekuru Onna (MANGA)	45
Takopii no Genzai (MANGA)	45
Mugen Tengoku (ONE_SHOT)	45
Kasako (MANGA)	45
Wasurenagumo (MOVIE)	40
Hotaru no Haka (MOVIE)	40
DEATH NOTE (TV)	40
Konya wa Tsuki ga Kirei desu ga, Toriaezu Shine: last (MANGA)	40
Konya wa Tsuki ga Kirei desu ga, Toriaezu Shine (MANGA)	40
Wagahai wa Neko de Aru (MANGA)	40
Ookami Ningen to Ningen Ookami (ONE_SHOT)	40
Last Menhealer (MANGA)	40
Inuyashiki (MANGA)	40
Fukushuu Kyoushitsu (MANGA)	40
Yuugatou (ONE_SHOT)	30
Garden (MANGA)	30
Kyou wo Aruku (MANGA)	30
Misu Misou (MANGA)	25
Boon ga Ijime ni Atteita You desu (MANGA)	25
Himizu (MANGA)	20
Meitantei Conan: Tokei Jikake no Matenrou (MOVIE)	None
